,1,2,3,4,5,6,7,8
A,0.0,0.01755781957506091,0.05614141414141414,0.11561111111111111,0.18766666666666668,0.2562222222222223,0.32955555555555566,0.6846666666666668
An,957.0,22.0,6.0,5.0,4.0,3.0,1.0,2.0
B,0.0,0.009980546552690575,0.039078305085403726,0.09563414768806075,0.1931683816425121,0.37871304347826085,0.6750327536231884,0.9235834782608696
Bn,893.0,79.0,14.0,6.0,4.0,2.0,1.0,1.0
C,0.0,0.03175775157527009,0.08700100553041731,0.2030285890580008,0.35072843822843824,0.5118589743589743,0.655448717948718,0.825
Cn,685.0,225.0,34.0,22.0,15.0,6.0,8.0,5.0
D,0.0,0.031746720432851955,0.08752126252126254,0.20334674139021963,0.3523202341137123,0.5136217948717948,0.6554487179487178,0.8249999999999997
Dn,685.0,220.0,37.0,23.0,16.0,6.0,8.0,5.0
